Hãng,Dòng xe,Năm sản xuất,Tình trạng,Số km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Nhiên liệu,Dung tích,Số chỗ,Giá (triệu)
mitsubishi,triton,2023,Xe mới,0.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu,2.4,5.0,733
mazda,cx5,2022,Xe đã dùng,29000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.5,5.0,805
kia,sorento,2012,Xe đã dùng,111000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.4,7.0,375
mercedes benz,eclass,2022,Xe đã dùng,19.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,2150
hyundai,accent,2021,Xe đã dùng,19000.0,Trong nước,Sedan,Số tự động,Xăng,1.4,5.0,449
mercedes benz,eclass,2017,Xe đã dùng,62000.0,Trong nước,Sedan,Số tự động,Xăng,2.0,5.0,1090
kia,k3,2023,Xe mới,0.0,Trong nước,Sedan,Số tự động,Xăng,1.6,5.0,649
audi,q5,2019,Xe đã dùng,25000.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,2.0,5.0,1890
ford,ranger,2023,Xe mới,0.0,Trong nước,Bán tải / Pickup,Số tự động,Dầu,2.0,5.0,707
toyota,rush,2018,Xe đã dùng,0.0,Nhập khẩu,SUV /Crossover,Số tự động,Xăng,1.5,7.0,475
hyundai,tucson,2023,Xe mới,0.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,5.0,814
hyundai,elantra,2018,Xe đã dùng,45000.0,Trong nước,Sedan,Số tự động,Xăng,1.6,5.0,495
kia,k3,2022,Xe đã dùng,12000.0,Trong nước,Sedan,Số tay,Xăng,1.6,5.0,475
audi,a6,2014,Xe đã dùng,50000.0,Nhập khẩu,Sedan,Số tự động,Xăng,2.0,5.0,639
audi,a8,2020,Xe đã dùng,27000.0,Nhập khẩu,Sedan,Số tự động,Xăng,3.0,5.0,3499
nissan,x,2020,Xe đã dùng,39000.0,Trong nước,SUV /Crossover,Số tự động,Xăng,2.0,7.0,685
hyundai,tucson,2019,Xe đã dùng,69138.0,Trong nước,SUV /Crossover,Số tự động,Dầu,2.0,5.0,750
toyota,vios,2017,Xe đã dùng,0.0,Trong nước,Sedan,Số tay,Xăng,1.5,5.0,340
