company,type,mfdate,mileage_v2,condition_ad,gearbox,fuel,carorigin,cartype,carseats,veh_warranty_policy,veh_unladen_weight,veh_gross_weight,cost
Mazda,CX 8,2021,50000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,846.000.000 đ
Ford,Everest,2012,120000,Đã sử dụng,Số sàn,Dầu,Thái Lan,,,,,,315.000.000 đ
Ford,Ranger,2020,26000,Đã sử dụng,Tự động,Xăng,,Pick-up (bán tải),,,,,715.000.000 đ
Mercedes Benz,C Class,2008,120000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,295.000.000 đ
Suzuki,Swift,2019,32000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,423.000.000 đ
Kia,Carens,2015,110000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,260.000.000 đ
Honda,CR V,2019,58000,Đã sử dụng,Tự động,Xăng,Thái Lan,,,,,,785.000.000 đ
Hyundai,Elantra,2017,65000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,372.000.000 đ
Toyota,Hiace,2004,120000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,95.000.000 đ
Toyota,Wigo,2018,12345,Đã sử dụng,Số sàn,Xăng,,Hatchback,,,,,235.000.000 đ
MG,5,2023,,Đã sử dụng,Tự động,Xăng,Thái Lan,Sedan,,,,,523.000.000 đ
Mercedes Benz,C Class,2017,46000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,799.000.000 đ
Mercedes Benz,C Class,2008,50000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,265.000.000 đ
Ford,EcoSport,2017,12000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,450.000.000 đ
Kia,Carens,2015,110000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,260.000.000 đ
Toyota,Corolla,1988,99999,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,55.000.000 đ
Honda,City,2013,100000,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,320.000.000 đ
Mazda,3,2018,39000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,455.000.000 đ
Honda,Brio,2019,83000,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,325.000.000 đ
Chevrolet,Spark,2009,180000,Đã sử dụng,Số sàn,Xăng,Mỹ,,,,,,83.000.000 đ
Ford,Transit,2017,190000,Đã sử dụng,Số sàn,Dầu,,Van,,,,,510.000.000 đ
Vinfast,VF5,2023,,Mới,Tự động,Điện,Việt Nam,SUV / Cross over,,,,,458.000.000 đ
Vinfast,Lux A2.0,2022,28888,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,596.000.000 đ
Kia,Sedona,2016,65050,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,598.000.000 đ
Chevrolet,Spark,2009,180000,Đã sử dụng,Số sàn,Xăng,,Hatchback,,,,,83.000.000 đ
Toyota,Camry,2013,110000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,480.000.000 đ
Hyundai,Sonata,1991,150000,Đã sử dụng,Số sàn,Xăng,Hàn Quốc,,,,,,38.000.000 đ
Mazda,CX 8,2020,35000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,788.000.000 đ
Chevrolet,Captiva,2008,96,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,185.000.000 đ
Ford,Ranger,2022,14000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,990.000.000 đ
Hyundai,Avante,2013,81999,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,275.000.000 đ
Toyota,Fortuner,2012,68000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,415.000.000 đ
Toyota,Innova,2014,150000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,300.000.000 đ
Toyota,Vios,2022,31000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,418.000.000 đ
Mazda,CX 5,2020,30000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,738.000.000 đ
Hyundai,Santa Fe,2023,,Mới,Tự động,Dầu,Việt Nam,SUV / Cross over,,,,,250.000.000 đ
MG,5,2022,4000,Đã sử dụng,Tự động,Xăng,Nước khác,,,,,,490.000.000 đ
Toyota,Vios,2018,48000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,322.000.000 đ
Chevrolet,Cruze,2018,67000,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,286.000.000 đ
Ford,Territory,2023,10000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,860.000.000 đ
Vinfast,VFe34,2023,11000,Đã sử dụng,Tự động,Điện,Việt Nam,,,,,,465.000.000 đ
Toyota,Yaris,2009,100000,Đã sử dụng,Tự động,Xăng,Nhật Bản,,,,,,265.000.000 đ
Toyota,Innova,2006,150000,Đã sử dụng,Số sàn,Xăng,,Minivan (MPV),,,,,198.000.000 đ
Hyundai,Santa Fe,2016,110000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,615.000.000 đ
Toyota,Hiace,2007,140000,Đã sử dụng,Số sàn,Dầu,Nhật Bản,,,,,,195.000.000 đ
Mercedes Benz,GLC Class,2017,48000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,1.098.000.000 đ
Vinfast,Fadil,2022,17000,Đã sử dụng,Tự động,Xăng,,Hatchback,,,,,335.000.000 đ
Ford,EcoSport,2021,25000,Đã sử dụng,Tự động,Xăng,,SUV / Cross over,,,,,495.000.000 đ
Toyota,Innova,2018,70000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,585.000.000 đ
Vinfast,Lux A2.0,2020,21400,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,665.000.000 đ
Hyundai,Accent,2023,,Mới,Tự động,Xăng,Hàn Quốc,,5,,,,112.000.000 đ
Hyundai,Tucson,2018,80000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,669.000.000 đ
Suzuki,Swift,2016,61000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,330.000.000 đ
Vinfast,Fadil,2022,8000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,315.000.000 đ
Hyundai,Tucson,2018,80000,Đã sử dụng,Tự động,Dầu,Việt Nam,,,,,,669.000.000 đ
Suzuki,Swift,2016,61000,Đã sử dụng,Tự động,Xăng,Đang cập nhật,,,,,,330.000.000 đ
Vinfast,Fadil,2022,8000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,315.000.000 đ
Isuzu,NMR,2018,950000,Đã sử dụng,Tự động,Dầu,Nhật Bản,,,,,,440.000.000 đ
Ford,Ranger,2020,40000,Đã sử dụng,Tự động,Dầu,Thái Lan,,,,,,550.000.000 đ
Toyota,Corolla Cross,2021,5700,Đã sử dụng,5,Xăng,Thái Lan,,,,,,760.000.000 đ
Toyota,Innova,2016,94500,Đã sử dụng,Số sàn,Xăng,Việt Nam,,,,,,298.000.000 đ
Toyota,Corolla Altis,2011,123210,Đã sử dụng,Tự động,Xăng,,Sedan,,,,,360.000.000 đ
Mitsubishi,Jolie,2003,100000,Đã sử dụng,Số sàn,Xăng,Nhật Bản,,,,,,63.000.000 đ
Ford,Ranger,2023,13000,Đã sử dụng,Tự động,Xăng,Việt Nam,,,,,,665.000.000 đ
Ford,Ranger,2015,45000,Đã sử dụng,Số sàn,Dầu,Thái Lan,,,,,,350.000.000 đ
